id_partidoDip,partidoDip
1,PARTIDO LIBERAL DE HONDURAS
2,PARTIDO NACIONAL DE HONDURAS
3,PINU
4,PARTIDO DEMOCRATA CRISTIANO DE HONDURAS
5,PARTIDO UNIFICACION DEMOCRATICA
6,PARTIDO ANTICORRUPCION
7,PARTIDO LIBERTAD Y REFUNDACION
8,PARTIDO ALIANZA PATRIOTICA HONDURENA
9,PARTIDO FRENTE AMPLIO (EL FRENTE)
10,PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO
11,PARTIDO NUEVA RUTA DE HONDURAS
12,PSH
13,PARTIDO LIBERACION DEMOCRATICO DE HONDURAS
14,PARTIDO TODOS SOMOS HONDURAS
15,Blancos
16,Nulos
